"LOINC_NUM","COMPONENT","PROPERTY","TIME_ASPCT","SYSTEM","SCALE_TYP","METHOD_TYP","CLASS","SHORTNAME","LONG_COMMON_NAME","RELATEDNAMES2","LinguisticVariantDisplayName"
"604-9","Bakteri","MevcKimlik","Zmlı","Bronşiyal","Snf","Aerobik kültür","MICRO","","","",""
"605-6","Bakteri","MevcKimlik","Zmlı","Cnl","Snf","Aerobik kültür","MICRO","","","",""
"606-4","Bakteri","MevcKimlik","Zmlı","BOS","Snf","Kültür","MICRO","","","",""
"607-2","Bakteri","MevcKimlik","Zmlı","Drain","Snf","Aerobik kültür","MICRO","","","",""
"608-0","Bakteri","MevcKimlik","Zmlı","Kulak","Snf","Aerobik kültür","MICRO","","","",""
"609-8","Bakteri","MevcKimlik","Zmlı","Göz","Snf","Aerobik kültür","MICRO","","","",""
"610-6","Bakteri","MevcKimlik","Zmlı","Vücut sv","Snf","Aerobik kültür","MICRO","","","",""
"611-4","Bakteri","MevcKimlik","Zmlı","Vücut sv","Snf","Kültür","MICRO","","","",""
"616-3","Bakteri","MevcKimlik","Zmlı","Hat","Snf","İntravasküler hat kültürü","MICRO","","","",""
"618-9","Bakteri","MevcKimlik","Zmlı","Plvr sv","Snf","Kültür","MICRO","","","",""
"619-7","Bakteri","MevcKimlik","Zmlı","Periton sv","Snf","Kültür","MICRO","","","",""
"620-5","Bakteri","MevcKimlik","Zmlı","Deri","Snf","Aerobik kültür","MICRO","","","",""
"621-3","Bakteri","MevcKimlik","Zmlı","Snvy sv","Snf","Kültür","MICRO","","","",""
"622-1","Bakteri","MevcKimlik","Zmlı","Balgam","Snf","Aerobik kültür","MICRO","","","",""
"623-9","Bakteri","MevcKimlik","Zmlı","Balgam","Snf","Kistik fibrozis respiratory culture","MICRO","","","",""
"624-7","Bakteri","MevcKimlik","Zmlı","Balgam","Snf","Solunum sistemi kültürü","MICRO","","","",""
"625-4","Bakteri","MevcKimlik","Zmlı","Dışkı","Snf","Kültür","MICRO","","","Gaita; feçes",""
"626-2","Bakteri","MevcKimlik","Zmlı","Bğz","Snf","Kültür","MICRO","","","",""
"627-0","Bakteri","MevcKimlik","Zmlı","Doku","Snf","Aerobik kültür","MICRO","","","",""
"628-8","Bakteri","MevcKimlik","Zmlı","Doku","Snf","Anaerobik kültür","MICRO","","","",""
"629-6","Bakteri","MevcKimlik","Zmlı","Üls","Snf","Aerobik kültür","MICRO","","","",""
"6298-4","Potasyum","SubKons","Zmlı","Kan","Kant","","CHEM","","","",""
"630-4","Bakteri","MevcKimlik","Zmlı","İdrar","Snf","Kültür","MICRO","","","",""
"631-2","Bakteri","MevcKimlik","Zmlı","Blnm sub","Snf","Aerobik kültür","MICRO","","","",""
"632-0","Bakteri","MevcKimlik","Zmlı","Yara","Snf","Aerobik kültür","MICRO","","","",""
"633-8","Bakteri","MevcKimlik","Zmlı","Yara","Snf","Anaerobik kültür","MICRO","","","",""
"634-6","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Aerobik kültür","MICRO","","","",""
"635-3","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Anaerobik kültür","MICRO","","","",""
"636-1","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Steril vücut sıvısı kültürü","MICRO","","","",""
"6459-2","Bakteri","MevcKimlik","Zmlı","Besin","Snf","Kültür","MICRO","","","",""
"6460-0","Bakteri","MevcKimlik","Zmlı","Balgam","Snf","Kültür","MICRO","","","",""
"6461-8","Bakteri","MevcKimlik","Zmlı","Dışkı","Snf","Anaerobik kültür","MICRO","","","Gaita; feçes",""
"6462-6","Bakteri","MevcKimlik","Zmlı","Yara","Snf","Kültür","MICRO","","","",""
"6463-4","Bakteri","MevcKimlik","Zmlı","XXX","Snf","Kültür","MICRO","","","",""
"6792-6","Potasyum","SubHz","24Sa","Dışkı","Kant","","CHEM","","","Gaita; feçes",""
"68366-4","Bakteri","MevcKimlik","Zmlı","^KanÜrÜ","Snf","Kültür","MICRO","","","",""
"6940-1","Potasyum","SubHz","XXX","Dışkı","Kant","","CHEM","","","Gaita; feçes",""
"72340-3","Bakteri","MevcEşik","Zmlı","Prostatik sv","Srl","Mikroskopi.ışık","HEM/BC","","","Mevcut",""
"73960-7","Bakteri","MevcKimlik","Zmlı","Ağız","Snf","Kültür","MICRO","","","",""
"74348-4","Bakteri","MevcKimlik","Zmlı","Kemik^verici","Snf","Aerobik kültür","MICRO","","","",""
"74355-9","Bakteri","MevcKimlik","Zmlı","Bartholin kist","Snf","Aerobik kültür","MICRO","","","",""
"74356-7","Bakteri","MevcKimlik","Zmlı","VP shunt","Snf","Kültür","MICRO","","","BAK",""
"74816-0","Bakteri","MevcKimlik","Zmlı","Göz","Snf","Anaerobik+Aerobik kültür","MICRO","","","",""
"75269-1","Bakteri","MevcKimlik","Zmlı","Genital","Snf","Anaerobik+Aerobik kültür","MICRO","","","",""
"75357-4","Bakteri","MevcKimlik","Zmlı","Apse","Snf","Anaerobik+Aerobik kültür","MICRO","","","",""
"75358-2","Bakteri","MevcKimlik","Zmlı","Kemik","Snf","Anaerobik+Aerobik kültür","MICRO","","","",""
"75359-0","Bakteri","MevcKimlik","Zmlı","Kem il","Snf","Anaerobik+Aerobik kültür","MICRO","","","",""
"75518-1","Bakteri","MevcKimlik","Zmlı","BOS","Snf","LA","MICRO","","","",""
"75940-7","Potasyum","KütlKons","Zmlı","Kan","Kant","","CHEM","","","",""
"76693-1","Bakteri","MevcKimlik","Zmlı","^BPU.otolog","Snf","Kültür","MICRO","","","",""
"77142-8","Potasyum","SubKons","Zmlı","Ser/Plaz/Kan","Kant","","CHEM","","","",""
"77193-1","Bakteri","MevcKimlik","Zmlı","Uterus","Snf","Kültür","MICRO","","","",""
"78356-3","Bakteri","MevcKimlik","Zmlı","Implant aygıt","Snf","Kültür","MICRO","","","",""
"79710-0","Potasyum","Kütlİçrk","Zmlı","Saç","Kant","","CHEM","","","",""
"82722-0","Potasyum","KütlKons","Zmlı","Eritrosit","Kant","","CHEM","","","RBC",""
"87454-5","Potasyum","KütlKons","Zmlı","XXX","Kant","","CHEM","","","",""
"87455-2","Potasyum","Kütlİçrk","Zmlı","XXX","Kant","","CHEM","","","",""
"87829-8","Bakteri","MevcEşik","Zmlı","İdrar","Srl","","UA","","","Mevcut",""
"87929-6","Bakteri","MevcKimlik","Zmlı","Amniyon sv","Snf","Aerobik kültür","MICRO","","","Amniyon mayii",""
"87930-4","Bakteri","MevcKimlik","Zmlı","Yanık","Snf","Aerobik kültür","MICRO","","","",""
"87931-2","Bakteri","MevcKimlik","Zmlı","Implant aygıt","Snf","Aerobik kültür","MICRO","","","",""
"87932-0","Bakteri","MevcKimlik","Zmlı","Sinüs","Snf","Aerobik kültür","MICRO","","","",""
"87933-8","Bakteri","MevcKimlik","Zmlı","Amniyon sv","Snf","Anaerobik kültür","MICRO","","","Amniyon mayii",""
"87934-6","Bakteri","MevcKimlik","Zmlı","Safra sv","Snf","Anaerobik kültür","MICRO","","","",""
"87935-3","Bakteri","MevcKimlik","Zmlı","^KanÜrÜ","Snf","Anaerobik kültür","MICRO","","","",""
"87936-1","Bakteri","MevcKimlik","Zmlı","Yanık","Snf","Anaerobik kültür","MICRO","","","",""
"87937-9","Bakteri","MevcKimlik","Zmlı","BOS","Snf","Anaerobik kültür","MICRO","","","",""
"87938-7","Bakteri","MevcKimlik","Zmlı","Implant aygıt","Snf","Anaerobik kültür","MICRO","","","",""
"87939-5","Bakteri","MevcKimlik","Zmlı","Perikard sv","Snf","Anaerobik kültür","MICRO","","","",""
"87940-3","Bakteri","MevcKimlik","Zmlı","Periton sv","Snf","Anaerobik kültür","MICRO","","","",""
"87942-9","Bakteri","MevcKimlik","Zmlı","Plvr sv","Snf","Anaerobik kültür","MICRO","","","",""
"87943-7","Bakteri","MevcKimlik","Zmlı","Sinüs","Snf","Anaerobik kültür","MICRO","","","",""
"87944-5","Bakteri","MevcKimlik","Zmlı","Snvy sv","Snf","Anaerobik kültür","MICRO","","","",""
"87954-4","Bakteri","MevcKimlik","Zmlı","KanKd","Snf","Aerobik kültür","MICRO","","","",""
"87955-1","Bakteri","MevcKimlik","Zmlı","KanKd","Snf","Anaerobik kültür","MICRO","","","",""
"88139-1","Bakteri","MevcKimlik","Zmlı","Oküler sv","Snf","Anaerobik kültür","MICRO","","","",""
